"Location","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (39); High-risk Groups (2); Other (1); No Action (9)","All Travelers (9); All Air Travelers (1); From Certain States (5); Other (1); No Action (35)","All Non-Essential Businesses (33); All Non-Essential Retail Businesses (4); Other (5); No Action (9)","All Gatherings Prohibited (18); >10 Prohibited (25); 50+ Prohibited (1); Other (4); No action (3)","Yes (49); Effectively Closed (2)","Closed except for takeout/delivery (46); Limited on-site service (3); Other (1); No action (1)","Yes (13); No (38)","Yes (51); No (0)"
"Alabama","-","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","1"
"Alaska","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arizona","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"California","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","2"
"Colorado","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Connecticut","Statewide","-","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","3, 4"
"Delaware","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","Statewide","From Certain States","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","-","Yes","5"
"Georgia","Statewide","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","1"
"Hawaii","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes"
"Illinois","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1"
"Kansas","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Limited On-site Service","-","Yes"
"Kentucky","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","3, 6"
"Louisiana","Statewide","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maine","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Maryland","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Massachusetts","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","3"
"Michigan","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Minnesota","Statewide","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Mississippi","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Missouri","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Montana","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Nebraska","-","-","-","Other","Yes","Limited On-site Service","-","Yes","7"
"Nevada","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","6"
"New Hampshire","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Jersey","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Mexico","Statewide","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Limited On-site Service","-","Yes","6"
"New York","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","3"
"North Carolina","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","6"
"North Dakota","-","-","Other","-","Yes","Closed except for takeout/delivery","-","Yes","1"
"Ohio","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Oklahoma","High-risk Groups","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Other","-","Yes","8"
"Oregon","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Pennsylvania","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Rhode Island","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","4"
"South Carolina","-","-","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"South Dakota","-","-","-",">10 People Prohibited","Yes","-","-","Yes"
"Tennessee","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Texas","Other","From Certain States","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","9"
"Utah","High-risk Groups","All Travelers","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Vermont","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","10"
"Virginia","Statewide","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1"
"Washington","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"West Virginia","Statewide","From Certain States","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Wisconsin","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wyoming","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
